latitude,longitude,offense,time,day,month,year,magnitude
40.8373235110001,-73.9198307569999,RAPE,18:00,11,25,2004,3
40.800112068,-73.967989389,GRAND LARCENY,09:00,12,09,2004,3
40.64085528,-73.958207273,GRAND LARCENY,12:00,01,09,2005,3
40.6340382320001,-73.947291187,GRAND LARCENY,12:01,01,09,2005,3
40.738219595,-73.992012181,GRAND LARCENY,08:00,01,09,2005,3
40.690600181,-73.9713522179999,GRAND LARCENY,09:00,01,09,2005,3
40.6694848440001,-73.912134362,ROBBERY,00:15,01,09,2005,3
40.7141400030001,-73.909214973,GRAND LARCENY,13:20,01,09,2005,3
40.883295441,-73.851504945,GRAND LARCENY,19:00,01,09,2005,3
40.725480346,-73.983961028,GRAND LARCENY,21:15,01,09,2005,3
40.6244891010001,-74.0159635539999,GRAND LARCENY,09:00,01,10,2005,3
40.8536505060001,-73.8338080519999,GRAND LARCENY,00:00,01,10,2005,3
40.6851920440001,-73.854221267,GRAND LARCENY OF MOTOR VEHICLE,16:00,01,10,2005,3
40.686209804,-73.95073667,FELONY ASSAULT,04:55,02,11,2005,3
40.7679551100001,-73.982362342,GRAND LARCENY,09:00,02,11,2005,3
40.740123356,-73.9822145379999,GRAND LARCENY,09:45,02,11,2005,3
40.6993667400001,-73.8922236029999,GRAND LARCENY,00:00,02,11,2005,3
40.8517775820001,-73.8428639109999,GRAND LARCENY,12:01,02,22,2005,3
40.876033976,-73.837964754,GRAND LARCENY,18:00,02,22,2005,3
40.7420875920001,-73.879758496,GRAND LARCENY,09:00,03,17,2005,3
40.760185479,-73.767842585,GRAND LARCENY,09:00,03,17,2005,3
40.6694057810001,-73.9745119139999,GRAND LARCENY,11:00,03,23,2005,3
40.644726131,-74.0774831589999,RAPE,15:30,03,23,2005,3
40.607431498,-73.9757168479999,GRAND LARCENY,18:00,03,23,2005,3
40.65605864,-73.8971086179999,BURGLARY,06:55,04,20,2005,3
40.57517783,-73.966686094,GRAND LARCENY,08:00,04,20,2005,3
40.8302648110001,-73.906205469,GRAND LARCENY,09:30,04,20,2005,3
40.6153859610001,-74.079102366,GRAND LARCENY,16:00,04,20,2005,3
40.6971375530001,-73.9599174429999,FELONY ASSAULT,18:40,04,20,2005,3
40.6459682990001,-73.950031258,FELONY ASSAULT,15:30,05,06,2005,3
40.837662063,-73.899968261,ROBBERY,18:45,05,06,2005,3
40.691822917,-73.966083311,GRAND LARCENY,12:00,06,27,2005,3
40.7755468300001,-73.946200728,GRAND LARCENY,12:01,06,27,2005,3
40.7062220130001,-73.950974356,GRAND LARCENY,12:01,06,27,2005,3
40.6996935970001,-73.766488035,GRAND LARCENY,09:00,06,27,2005,3
40.7816627820001,-73.834439086,GRAND LARCENY,09:00,06,27,2005,3
40.709434495,-73.873306821,GRAND LARCENY,22:30,06,27,2005,3
40.853853379,-73.917688948,GRAND LARCENY,08:00,07,08,2005,3
40.6691833190001,-73.938042369,GRAND LARCENY,13:15,07,08,2005,3
40.75491564,-73.9724759659999,GRAND LARCENY,17:00,07,08,2005,3
40.8422948790001,-73.916937046,GRAND LARCENY OF MOTOR VEHICLE,12:01,07,21,2005,3
40.7562176760001,-73.82977027,GRAND LARCENY,00:00,07,21,2005,3
40.6876681540001,-73.775865559,GRAND LARCENY,10:30,07,25,2005,3
40.848447832,-73.923905353,GRAND LARCENY,15:00,07,25,2005,3
40.7585141710001,-73.9907211139999,GRAND LARCENY,17:00,07,25,2005,3
40.7392160090001,-73.884566696,GRAND LARCENY,19:00,07,25,2005,3
40.714127476,-73.980443115,GRAND LARCENY,12:00,07,30,2005,3
40.757459628,-73.919132771,GRAND LARCENY,12:01,07,30,2005,3
40.857761581,-73.8880446479999,BURGLARY,12:01,09,05,2005,3
40.74661324,-73.9956815049999,GRAND LARCENY,09:00,09,05,2005,3
40.852690753,-73.904879772,GRAND LARCENY,09:00,09,05,2005,3
40.8759473550001,-73.833036352,GRAND LARCENY,09:00,09,05,2005,3
40.5910303580001,-74.088038932,GRAND LARCENY,00:00,09,05,2005,3
40.823101299,-73.8696904609999,RAPE,00:00,09,05,2005,3
40.691396872,-73.9382200589999,GRAND LARCENY,13:00,09,05,2005,3
40.762919094,-73.9620365549999,GRAND LARCENY,17:00,09,05,2005,3
40.7962543680001,-73.973455697,FELONY ASSAULT,03:30,09,07,2005,3
40.690723948,-73.9885561569999,GRAND LARCENY,07:00,09,07,2005,3
40.7405093350001,-73.903019082,GRAND LARCENY,08:45,09,07,2005,3
40.7460734220001,-73.978925198,GRAND LARCENY,09:00,09,07,2005,3
40.8154401260001,-73.938036272,GRAND LARCENY,09:00,09,07,2005,3
40.719971668,-73.8442352869999,GRAND LARCENY,09:30,09,07,2005,3
40.8466226640001,-73.9160786419999,GRAND LARCENY,00:00,09,07,2005,3
40.8112367580001,-73.931089772,GRAND LARCENY,17:00,09,07,2005,3
40.7511922730001,-73.978356931,GRAND LARCENY,12:05,10,13,2005,3
40.641966358,-73.9752430569999,GRAND LARCENY,09:00,10,13,2005,3
40.6730303310001,-73.7676160249999,GRAND LARCENY,09:00,10,13,2005,3
40.7510286180001,-73.9847886059999,GRAND LARCENY,09:00,10,13,2005,3
40.6645922610001,-73.9785328139999,GRAND LARCENY,00:00,10,13,2005,3
40.7553167070001,-73.993053262,GRAND LARCENY,00:00,10,13,2005,3
40.61384715,-73.981437773,ROBBERY,15:00,10,13,2005,3
40.754763466,-73.796264077,GRAND LARCENY,12:00,10,15,2005,3
40.6196319200001,-73.956466333,GRAND LARCENY,12:25,10,15,2005,3
40.6838020330001,-73.871689741,GRAND LARCENY,09:00,10,15,2005,3
40.826036645,-73.8892615029999,GRAND LARCENY,09:00,10,15,2005,3
40.621429167,-74.0277276319999,GRAND LARCENY,10:00,10,15,2005,3
40.7673241000001,-73.984297521,BURGLARY,11:00,10,15,2005,3
40.565164252,-74.139699815,GRAND LARCENY,00:00,10,15,2005,3
40.7911518670001,-73.884371919,FELONY ASSAULT,14:35,10,15,2005,3
40.812783376,-73.9092393729999,GRAND LARCENY,15:00,10,15,2005,3
40.623992335,-73.961168153,GRAND LARCENY,17:00,10,15,2005,3
40.746796062,-73.983674396,ROBBERY,17:00,10,15,2005,3
40.695627657,-73.817627748,GRAND LARCENY OF MOTOR VEHICLE,18:00,10,15,2005,3
40.8399082010001,-73.936083587,RAPE,18:00,10,15,2005,3
40.8107727670001,-73.9525915899999,BURGLARY,12:35,11,17,2005,3
40.8690585320001,-73.8796301479999,GRAND LARCENY,08:00,11,17,2005,3
40.74889441,-73.779452744,GRAND LARCENY,11:00,11,17,2005,3
40.7291427530001,-74.0070334979999,GRAND LARCENY,00:00,11,17,2005,3
40.7625533660001,-73.9689387779999,GRAND LARCENY,00:00,11,17,2005,3
40.6657874650001,-73.9194133249999,ROBBERY,17:05,11,17,2005,3
40.670399527,-73.956624257,GRAND LARCENY,22:27,11,17,2005,3
